#Table1
plate,mjd,fiberid,oiii_5007_flux,h_beta_flux,h_gamma_flux,oiii_5007_cont,h_beta_cont,h_gamma_cont,oiii_5007_eqw,h_beta_eqw,h_gamma_eqw,e_bv_sfd,ratio_oiii_hb,ratio_oiii_hg
2239,53726,386,41.29363,18.03467,35.02753,73.79722,76.3522,56.72715,-0.4425872,-0.1961063,-0.5457641,0.01479737,2.289681,1.178891
2239,53726,432,6.801384,15.88499,21.52706,98.72457,102.7185,76.5817,-0.2921901,-0.1329573,-0.3414301,0.01415497,0.4281641,0.3159458
2268,53682,451,51.71821,27.26945,20.06627,76.3931,78.6507,57.29019,-0.4714663,-0.2428704,-0.3183252,0.02708664,1.896562,2.57737
2271,53726,343,2110.901,1350.098,768.8372,50.09779,63.83059,60.98495,-42.44629,-15.53182,-10.06665,0.04080644,1.563517,2.745576
2275,53709,37,78.25572,145.0913,55.55201,56.1826,55.83527,47.60915,-1.435651,-2.478743,-0.8296489,0.02619915,0.5393549,1.408693
2281,53711,151,4260.281,2226.578,868.7341,137.6098,153.7388,146.1486,-29.46022,-11.93965,-5.039667,0.0230756,1.913376,4.90401
2297,53738,129,27.57408,1.414403,2.992793,80.01762,81.26814,65.8,-0.2489542,0.129267,0.09727736,0.02213505,19.4952,9.213492
2305,54414,115,20.48948,523.0571,797.9016,117.8886,128.3902,202.5765,-0.2100406,-3.19212,-3.266931,0.1242009,0.03917255,0.02567921
2341,53738,456,33.25378,37.60495,39.17754,67.27197,70.08784,52.07993,-0.3780859,-0.4526071,-0.5591152,0.02354283,0.8842926,0.848797
2341,53738,527,53.57397,25.44228,9.004469,76.46395,78.70938,60.62411,-0.7622189,-0.3512947,-0.2382785,0.02188077,2.105706,5.949709
2341,53738,575,16.04282,23.66694,32.00087,60.56624,62.44978,47.56828,-0.244225,-0.3344702,-0.4222881,0.02441659,0.6778576,0.5013244
2343,53735,529,300.0388,620.9067,258.633,54.191,54.99316,51.67403,-5.861633,-11.13963,-4.93037,0.0423698,0.483227,1.160095
2365,53739,497,2312.936,1250.832,564.6827,53.07147,53.31265,60.46017,-45.61118,-24.19343,-9.32572,0.0265319,1.849117,4.095992
2425,54139,225,75.59013,42.67495,26.46343,60.93054,62.32124,46.41783,-1.385299,-0.6077194,-0.5041206,0.05447046,1.7713,2.8564
2425,54139,243,379.3304,468.8044,283.5496,36.13246,38.18616,42.26696,-11.15764,-9.700706,-5.631829,0.03617373,0.8091443,1.337792
2435,53828,435,1681.127,336.0775,198.65,43.78503,54.12649,47.19706,-39.65925,-6.344026,-4.684788,0.03170227,5.002199,8.462757
2483,53852,43,1579.43,350.8303,178.0131,102.289,106.7325,133.4596,-15.75312,-3.45065,-1.578954,0.02458298,4.501978,8.872554
